106,Romano's Macaroni Grill,https://order.macaronigrill.com/
107,Ruby Tuesday,https://www.rubytuesday.com/order-now/
108,Ruth's Chris Steak House,https://order.ruthschris.com/
109,Saladworks,https://restaurants.saladworks.com/search
110,Sbarro,https://order.sbarro.com/
111,Schlotzsky's,https://order.schlotzskys.com/
112,Shake Shack,https://shakeshack.com/#/orderSetup/pickup
113,Shakey's Pizza,https://www.shakeys.com/restaurant-locations/
114,Shane's Rib Shack,https://www.shanesribshack.com/
115,Shoney's,https://www.shoneys.com/online-ordering-olo/
116,Sizzler,https://locations.sizzler.com/
117,Smashburger,https://order.smashburger.com/
118,Smoothie King,https://order.smoothieking.com/
119,Sonic Drive-In,https://order.sonicdrivein.com/
120,Starbucks,https://www.starbucks.com/menu
121,Steak 'n Shake,https://order.steaknshake.com/
122,Subway,https://order.subway.com/en-US/locator
123,Sweetgreen,https://order.sweetgreen.com/
124,Taco Bell,https://www.tacobell.com/food
125,Taco John's,https://order.tacojohns.com/
126,Taco Mac,https://order.tacomac.com/
127,Taco Time,https://order.tacotime.com/
128,Texas Roadhouse,https://www.texasroadhouse.com/order
129,TGI Fridays,https://order.tgifridays.com/
130,The Capital Grille,https://www.thecapitalgrille.com/menu
131,The Cheesecake Factory,https://www.thecheesecakefactory.com/locations
132,The Halal Guys,https://order.thehalalguys.com/
133,The Habit Burger Grill,https://order.habitburger.com/
134,The Melting Pot,https://www.meltingpot.com/
135,The Original Pancake House,https://www.originalpancakehouse.com/
136,Tim Hortons,https://www.timhortons.com/store-locator/service-mode
137,Tropical Smoothie Cafe,https://order.tropicalsmoothiecafe.com/
138,Twin Peaks,https://twinpeaksrestaurant.olo.com/
139,Waffle House,https://www.wafflehouse.com/
140,Wayback Burgers,https://wayback.order.online/business/wayback-burgers-12019/
141,Wendy's,https://order.wendys.com/categories?site=menu&delivery=true
142,Wetzel's Pretzels,https://order.wetzels.com/
143,Whataburger,https://whataburger.com/home
144,Which Wich?,https://www.whichwich.com/locations/
145,White Castle,https://order.whitecastle.com/OrderNow/location/menu
146,Wienerschnitzel,https://order.wienerschnitzel.com/
147,Wingstop,https://www.wingstop.com/order/action/delivery
148,WingStreet,https://www.pizzahut.com/menu/wings
149,Zaxby's,https://www.zaxbys.com/menu
